TABELA;COLUNA
NFCES001  ;COD_LEITO 
NFCES002  ;COD_CLIENT
NFCES002  ;DESCRICAO 
NFCES003  ;COD_CONVEN
NFCES003  ;DESCRICAO 
NFCES004  ;CODATPREST
NFCES004  ;DESCRICAO 
NFCES005  ;COD_MUN   
NFCES007  ;COD_ATIVID
NFCES007  ;DESCRICAO 
NFCES010  ;TP_UNID_ID
NFCES010  ;DESCRICAO 
NFCES011  ;COD_TURNAT
NFCES011  ;DESCRICAO 
NFCES012  ;COD_PROG  
NFCES012  ;DESCRICAO 
NFCES013  ;DESCRICAO 
NFCES014  ;CODREJEITO
NFCES014  ;DESCRICAO 
NFCES015  ;CODSERVICO
NFCES015  ;DESCRICAO 
NFCES016  ;COD_CARACT
NFCES016  ;DESCRICAO 
NFCES017  ;COD_COMIS 
NFCES017  ;DESCRICAO 
NFCES018  ;CODCLASERV
NFCES018  ;CODSERVICO
NFCES018  ;DESCRICAO 
NFCES019  ;CODSERVICO
NFCES019  ;DESCRICAO 
NFCES020  ;CODSUBTIPO
NFCES020  ;DESCRICAO 
NFCES021  ;COD_INSTAL
NFCES021  ;CODSUBTIPO
NFCES021  ;DESCRICAO 
NFCES022  ;CODSERVCOM
NFCES022  ;DESCRICAO 
NFCES023  ;COD_EQUIP 
NFCES023  ;DESCRICAO 
NFCES023  ;CODTPEQUIP
NFCES024  ;COD_NACIO 
NFCES024  ;DESCRICAO 
NFCES025  ;CODTPEQUIP
NFCES025  ;DESCRICAO 
NFCES026  ;COD_CBO   
NFCES026  ;DESCRICAO 
NFCES027  ;DESCRICAO 
NFCES028  ;COD_IND   
NFCES028  ;COD_ATRIB 
NFCES029  ;COD_IND   
NFCES029  ;DESCRICAO 
NFCES031  ;CODESCOLAR
NFCES031  ;DESCRICAO 
NFCES032  ;COD_CERTID
NFCES032  ;DESCRICAO 
NFCES033  ;CODORGEMIS
NFCES033  ;DESCRICAO 
NFCES035  ;DESCRICAO 
NFCES036  ;DS_PAIS   
NFCES037  ;DS_TP_LOGR
NFCES038  ;DS_RACA   
NFCES041_T;DESCRICAO 
NFCES046  ;DS_EQUIPE 
NFCES047  ;DS_CHDIFER
NFCES048  ;COD_CRM   
NFCES049  ;DS_MOTIVO_
NFCES050  ;DS_TP_DESA
NFCES051  ;DS_HABILIT
NFCES052  ;DS_REGRA  
NFCES053  ;DS_MOTIVO_
NFCES054  ;DS_GESTAO 
NFCES055  ;TP_UNID_ID
NFCES055  ;DS_SUBTIPO
NFCES056  ;DS_VINCULA
NFCES057  ;DS_VINCULO
NFCES058  ;DS_SUBVINC
NFCES058  ;DS_CONCEIT
NFCES059  ;DS_INTEGRA
NFCES063  ;COD_MUN   
NFCES069  ;DS_ADESAO 
NFCES070  ;DS_ETNIA  
NFCES071  ;NO_FANTASI
NFCES071_T;COD_CNS   
NFCES072  ;COD_MUN   
NFCES075  ;NO_FANTASI
NFCES076  ;DS_INSCRIC
NFCES077  ;NO_FANTASI
NFCES079  ;COD_MUN   
NFCES082  ;COD_MUN   
NFCES082  ;TP_UNID_ID
NFCES083  ;DS_BASE   
NFCES083  ;COD_CEP   
NFCES083  ;COD_MUN   
NFCES083  ;NO_URL    
NFCES085  ;DS_NATUREZ
NFCES088  ;COD_MUN   
NFCES088  ;TP_UNIDADE
NFCES088  ;NO_PROFISS
NFCES090  ;NO_GRUPO_E
NFCES093_T;DESCRICAO 
NFCES095  ;DS_SUB_TIP
NFCES099  ;DS_AVALIAC
NFCES099  ;DS_CONCEIT
NFCES100  ;DS_CLASSIF
NFCES100  ;DS_CONCEIT
NFCES101  ;NO_EMPRESA
NFCES101  ;NO_LOGRADO
NFCES101  ;NO_BAIRRO 
NFCES104  ;COD_CBO   
NFCES104  ;DS_JUSTIFI
NFCES105  ;DS_DISTRIT
NFCES106  ;DS_INST_AV
NFCES107  ;DS_INSCRIC
NFCES108  ;NO_PROF_RE
NFCES109  ;COD_MUN   
NFCES110  ;COD_MUN_GE
NFCES110  ;COD_CBO   
NFCES111  ;DESCRICAO 
NFCES112  ;NO_PROFISS
NFCES116  ;COD_AREA  
NFCES117  ;DS_GRUPO_A
NFCES117  ;DS_CONCEIT
NFCES118  ;DS_ATIVIDA
NFCES118  ;DS_CONCEIT
NFCES119  ;DS_TIPO_ES
NFCES119  ;DS_CONCEIT
NFCES124  ;DESCRICAO 
NFCES125  ;DESCRICAO 
NFCES126  ;DS_HABILIT
