COD_CBO;IND_VINC;TP_SUS_NAO_SUS;QTD_PROF;QTD_VINCULOS
515105;010202;S;40;40
515105;010101;S;31;31
322245;010101;S;23;23
322205;010101;S;21;22
422105;010101;S;18;18
515140;010101;S;16;16
223505;010101;S;15;20
411010;010101;S;14;14
514225;010101;S;12;12
225142;010101;S;11;11
223208;010101;S;11;12
223565;010101;S;11;11
225125;010101;S;7;8
223405;010101;S;7;8
322430;010101;S;6;6
251510;010101;S;6;6
223293;010101;S;5;5
516220;010101;S;5;8
325115;010101;S;4;4
322205;010301;S;4;4
251605;010101;S;4;5
225142;070101;S;3;3
223305;010101;S;3;3
251510;010301;S;3;3
223605;010101;S;3;5
324120;010101;S;2;2
515140;010202;S;2;2
225125;010301;S;2;2
322230;010101;S;2;2
516220;010301;S;2;3
225320;020900;S;2;2
322415;010101;S;2;4
223710;010101;S;2;4
223810;010101;S;2;3
411010;010301;S;1;1
512105;010101;S;1;1
224140;010101;S;1;1
224140;060101;S;1;2
224140;010202;S;1;1
324115;010101;S;1;1
515120;010101;S;1;1
515120;010202;S;1;1
225120;020900;S;1;1
225180;010101;S;1;1
225112;021000;S;1;1
225124;010202;S;1;2
225125;020900;S;1;1
225135;010101;S;1;1
225155;020900;S;1;1
322250;010101;S;1;1
322245;010202;S;1;1
422205;010101;S;1;1
313220;010101;S;1;1
513205;010101;S;1;1
223208;010301;S;1;1
514225;010202;S;1;1
515215;010101;S;1;1
225250;020900;S;1;1
225270;021000;S;1;1
225265;010101;S;1;2
225285;020900;S;1;1
252305;010403;N;1;1
514320;010101;N;1;1
225320;010101;S;1;1
225320;010301;S;1;1
322430;010202;S;1;1
322405;010101;S;1;1
223415;010101;S;1;1
223605;010301;S;1;2
223605;020900;N;1;1
