COD_CBO;DESCRICAO;INDPROFISS;TP_CBO_SAUDE;ST_CBO_REGULA
223565;ENFERMEIRO DA ESTRATEGIA DE SAUDE DA FAMILIA;;S;S
223605;FISIOTERAPEUTA GERAL;;S;S
223810;FONOAUDIOLOGO GERAL;;S;N
225125;MEDICO CLINICO;;S;S
225135;MEDICO DERMATOLOGIA;;S;N
225142;MEDICO DA ESTRATEGIA DE SAUDE DA FAMILIA;;S;S
251605;ASSISTENTE SOCIAL;;S;S
322205;TECNICO DE ENFERMAGEM;;S;S
322245;TECNICO DE ENFERMAGEM DA ESTRATEGIA DE SAUDE DA FAMILIA;;S;N
322430;AUXILIAR EM SAUDE BUCAL DA ESTRATEGIA DE SAUDE DA FAMILIA;;S;S
411010;ASSISTENTE ADMINISTRATIVO;;N;N
422105;RECEPCIONISTA, EM GERAL;;N;N
515105;AGENTE COMUNITARIO DE SAUDE;;S;N
515320;CONSELHEIRO TUTELAR;;N;N
516220;CUIDADOR EM SAUDE;;S;N
